Status;Device ID;Location;Machine;Product;Category;Transaction;TransDate;Type;RCoil;RPrice;RQty;MCoil;MPrice;MQty;LineTotal;TransTotal;Prcd Date;;Count of Transaction;Column Labels;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Jacks Links Bar Beef Strip;Food;14524620560;04/01/2022;Cash;137;2;1;137;2;1;2;2;04/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;Wonderful Pistachios - Variety;Food;14524674062;04/01/2022;Cash;132;2;1;132;2;1;2;2;04/01/2022;;;;;;;;
Processed;VJ300205292;Brunswick Sq Mall;BSQ Mall x1364 - Zales;Vitamin Water - XXX Acai BB Pomegranate;Water;14525272529;04/01/2022;Cash;147;2.75;1;147;2.75;1;2.75;2.75;04/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Cheetos - Fleming Hot Crunchy;Food;14526266403;04/01/2022;Cash;122;1.5;1;122;1.5;1;1.5;1.5;04/01/2022;;Location;(All);;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;KitKat - Crisp Wafers;Food;14526267747;04/01/2022;Cash;134;2;1;134;2;1;2;2;04/01/2022;;Days (TransDate);(All);;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Cheetos - Fleming Hot Crunchy;Food;14526269922;04/01/2022;Cash;122;1.5;1;122;1.5;1;1.5;1.5;04/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Spindrift - Sparkling Water  Lime;Carbonated;14526308615;04/01/2022;Cash;140;1;1;140;1;1;1;1;04/01/2022;;Count of RQty;Column Labels;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Spindrift - Sparkling Water  Lime;Carbonated;14526311069;04/01/2022;Cash;140;1;1;140;1;1;1;1;04/01/2022;;Row Labels;Carbonated;Food;Non Carbonated;Water;Grand Total;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Pure Organic Fruit Bar - Strawberry Banana;Food;14526315544;04/01/2022;Cash;138;1;1;138;1;1;1;1;04/01/2022;;Jan;149;253;49;31;482;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Cheetos - Fleming Hot Crunchy;Food;14526868345;04/01/2022;Cash;122;1.5;1;122;1.5;1;1.5;1.5;04/01/2022;;Feb;160;245;53;34;492;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Oreo Mini;Food;14527060118;04/01/2022;Cash;123;1.5;1;123;1.5;1;1.5;1.5;04/01/2022;;Mar;163;370;45;42;620;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Nutter Butter Bites;Food;14527060163;04/01/2022;Cash;124;1.5;1;124;1.5;1;1.5;1.5;04/01/2022;;Apr;263;444;83;74;864;
Processed;VJ300320611;Brunswick Sq Mall;BSQ Mall x1366 - ATT;Monster Energy Original;Carbonated;14527909078;05/01/2022;Credit;146;3;1;146;3;1;3;3;05/01/2022;;May;180;473;102;78;833;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Jack Links Beef Steak Original;Food;14528521163;05/01/2022;Credit;133;2;1;133;2;1;2;2;05/01/2022;;Jun;193;544;110;83;930;
